0.,0.,-1.14108958,-1.91428574,-1.,1.
-1.,-1.94876001,-1.,0.,1.,0.
-1.25468982,0.,2.,0.,0.,1.
0.,0.,-1.,0.,-1.,2.
1.,0.,-1.98552245,-1.,1.,0.
-1.04961735,-1.,0.,-1.87050874,-1.44057209,-2.
0.,0.,1.,0.,0.,-1.2357339
-1.,0.,-1.,-1.,-1.,1.
-1.,0.,-1.,0.,0.,0.
-1.49164116,-1.,2.,-1.,0.,1.
-1.,-1.,0.,-1.,1.,0.
-1.,-1.,1.,0.,-1.,0.
0.,1.,-2.,0.,0.,-1.
1.,-1.,0.,1.,-1.49314012,1.
0.,0.,0.,1.,-1.,0.
-1.,0.,0.,0.,1.,-1.
-1.92869893,0.,0.,1.,-1.,0.
0.,0.,-1.,0.,-1.,0.
0.,0.,0.,-1.,-1.39516464,0.
1.,1.,0.,-1.,0.,-1.
-1.,-1.,-1.,1.,0.,0.
1.,-1.45543899,0.,0.,-1.06394206,-1.38723149
-1.,-1.,0.,-1.98729273,0.,0.
0.,1.,0.,-1.,0.,-1.02984819
1.,1.,0.,-1.,-1.,0.
0.,-1.58516469,0.,0.,-1.,-1.
-1.,-1.,-1.,0.,1.,-1.
-1.,-1.3024652,2.,0.,-1.,-1.35734989
-1.07939009,-1.16729574,0.,0.,0.,0.
1.,0.,1.,0.,2.,-1.89767384
-1.,1.,1.,0.,-1.,-1.11124013
-1.,0.,-1.,-1.,-1.15470607,-1.
-1.13143852,-1.,0.,0.,1.,0.
-1.,0.,0.,1.,-2.,0.
1.,0.,0.,0.,-1.56070827,-1.
0.,0.,-1.,-1.,0.,0.
1.,0.,0.,0.,-1.,1.
-2.,0.,1.,0.,0.,-1.42519264
-1.06658251,0.,1.,-1.,0.,-1.96665438
-2.,2.,1.,1.,-1.,0.
0.,1.,-1.,-1.10146339,-1.,-1.
0.,0.,0.,1.,-1.,0.
-1.46543159,-1.37664679,-1.,-1.,1.,-1.
-1.,1.,1.,-1.,0.,-1.
0.,-1.,0.,1.,1.,-1.
-1.,-1.,1.,2.,-1.48770438,-1.09168591
-1.,-1.01459558,-1.47672876,0.,-1.,1.
-1.41087866,-1.,-1.0413345,1.,0.,2.
1.,0.,0.,0.,0.,0.
-1.42617453,-1.53407097,0.,-1.,0.,-1.
-1.,-1.42796509,-1.,-2.,0.,0.
-1.,0.,-1.15658997,-1.24927531,-1.,0.
-1.,0.,-1.,1.,-1.,-1.
-1.,2.,0.,-1.,-1.12738977,-1.26843567
1.,-1.,0.,0.,0.,0.
-1.,1.,-1.,0.,0.,-1.14318698
-1.,-1.,-1.91159668,0.,0.,-1.
1.,-1.,2.,0.,-1.,1.
-1.,-1.03602006,0.,-1.,0.,-1.
-1.,0.,0.,-1.,-1.09586278,-1.
0.,-1.66250444,-1.,1.,0.,-1.
0.,0.,1.,-1.,0.,-1.
-1.,0.,0.,0.,0.,-1.
-1.,-1.47719814,1.,0.,0.,-1.
-1.,-1.,-2.,-1.,-1.,-1.
1.,-1.,-1.23537113,0.,-1.,-1.2983359
-1.,-1.,-1.03870776,-1.,0.,1.
0.,-1.,0.,-1.,-1.,-1.
0.,-1.,0.,-1.,-1.,0.
-1.50076271,0.,0.,-2.,0.,0.
-1.,-1.,-1.,0.,0.,1.
2.,0.,-1.,-1.,2.,-1.15391098
1.,0.,-1.,-1.,1.,0.
-1.,-1.13312599,-1.,-1.,-1.,-1.
-1.,-1.01062213,-1.,-1.,1.,-1.
1.,-1.,-1.42615677,1.,-1.,1.
-1.11987604,1.,-1.23450522,0.,0.,-2.
-1.,0.,-1.,-1.,-1.17507561,-1.550777
1.,0.,0.,1.,-1.,-1.
-1.97463261,-1.,0.,0.,0.,-1.
0.,0.,-1.,-1.,-1.,-1.
1.,0.,-1.,-2.,-1.,0.
0.,0.,0.,1.,-1.91008886,0.
0.,-1.,-1.,-1.,0.,-1.87257186
0.,-1.,0.,-1.,-1.45470181,1.
1.,0.,1.,0.,0.,0.
-1.,1.,0.,0.,-1.10455738,0.
-2.,-1.06887183,-1.,0.,1.,0.
1.,-1.,-1.,-1.66335335,0.,0.
-1.07116784,-1.,1.,2.,-1.,0.
0.,0.,0.,-1.,-1.,-1.
-1.,0.,-1.2670102,2.,-1.90726278,0.
